Distance	Si	Ti	Al	Mg	Fe	Mn	Ca	SumCat	Xalm	Xsps	Xprp	Xgrs	XMg	ratio_CaFe
2260	2.98395104	0.0038293	1.99199426	0.24227856	2.44788484	0.13283025	0.20304207	8.02663472	0.80862654	0.04397539	0.08016653	0.06723154	0.09022787	0.08337144
2270	2.97863099	0.00463783	1.98483454	0.24008342	2.46526835	0.13334153	0.20730518	8.03452598	0.80856492	0.04397732	0.07906701	0.06839075	0.08909396	0.08483909
2280	2.980764	0.00450734	1.9908701	0.24333629	2.44503318	0.13288074	0.21022783	8.03096776	0.80587697	0.04402514	0.08044365	0.06965424	0.09074925	0.0866865
2290	2.98052048	0.00427481	1.98909123	0.23989693	2.45190875	0.13400378	0.21136394	8.03025829	0.80670856	0.04428549	0.07916487	0.06984108	0.08938081	0.08684623
2300	2.9855425	0.00387476	1.98267265	0.24288426	2.44115891	0.13573853	0.21739647	8.02922477	0.80321363	0.04482558	0.08014529	0.0718155	0.09076127	0.08964491
2310	2.98985434	0.00467903	1.98619796	0.23682429	2.4290414	0.1375356	0.21774537	8.02285731	0.80392001	0.04554717	0.0784028	0.07213001	0.0888456	0.08984563
2320	2.98654917	0.00402586	1.99655964	0.24157013	2.40931691	0.13822573	0.2246642	8.02137865	0.79941823	0.04588417	0.08014346	0.07455414	0.09110279	0.09333374
2330	2.98658636	0.00315477	1.99561056	0.23703668	2.41806218	0.13885055	0.22182038	8.0237857	0.80172134	0.04606952	0.07862226	0.07358688	0.08931632	0.09193135
2340	2.97796627	0.00387372	1.99502525	0.24008068	2.43306524	0.13952453	0.22234227	8.02941682	0.801133	0.04609907	0.07929731	0.07347062	0.0900943	0.09191286
2350	2.98428681	0.00368216	1.989992	0.2393282	2.42471405	0.14117087	0.22540941	8.02548657	0.79970272	0.04668872	0.07909577	0.07451279	0.09001843	0.09330222
2360	2.98817525	0.00359385	1.98781845	0.23500974	2.42394353	0.14347766	0.22380699	8.02281789	0.80066718	0.04750416	0.07775255	0.07407611	0.08853406	0.09268326
2370	2.98652534	0.0038379	1.98654448	0.23525452	2.42552287	0.14260727	0.22651893	8.02591774	0.80014647	0.04715944	0.07774402	0.07495007	0.08859463	0.09391642
2380	2.98875828	0.00408679	1.99148299	0.2327286	2.41603631	0.14481845	0.22333034	8.02172445	0.80044753	0.04808463	0.07725193	0.07421591	0.08804675	0.09290859
2390	2.98517528	0.00407944	1.98887594	0.23496111	2.42182193	0.14587789	0.22724572	8.02471961	0.79908081	0.04820908	0.07760603	0.07510409	0.08850974	0.09411705
2400	2.97485416	0.00469863	1.9935272	0.23093546	2.43696091	0.14648292	0.22782224	8.03208571	0.80052556	0.04826094	0.0761601	0.0750534	0.08693448	0.09399238
2410	2.98833049	0.00350991	1.9877031	0.23295033	2.415689	0.14848008	0.2285874	8.02336579	0.79825103	0.04911891	0.07701669	0.07561338	0.0879766	0.09483765
2420	2.97333865	0.00630162	2.00190084	0.2359974	2.41530659	0.14946497	0.22858455	8.02792399	0.79697191	0.04941733	0.07804798	0.07556278	0.08922486	0.09498212
2430	2.97715519	0.00537233	1.99913666	0.23270548	2.41492749	0.15063513	0.22877291	8.02710313	0.79756681	0.04984028	0.07694406	0.07564885	0.08799764	0.09497481
2440	2.98878575	0.00462281	1.98789741	0.23107877	2.40577877	0.15188792	0.23284991	8.02238413	0.79592528	0.0503544	0.07652034	0.07719997	0.08770063	0.09713121
2450	2.9783239	0.00332302	1.99535599	0.23137912	2.41722772	0.15276055	0.23428122	8.02881067	0.79607419	0.05038066	0.07628022	0.07726494	0.08744053	0.09714889
